distribution,votes,rank,title,year
0000012101,319489.0,6.8,Divergent,2014
0000001232,894838.0,8.5,Django Unchained,2012
0000023100,177943.0,6.7,Dodgeball: A True Underdog Story,2004
0000001321,174874.0,8.1,Dog Day Afternoon,1975
0000012211,177501.0,7.4,Dogma,1999
0000001222,104375.0,8.1,Dogville,2003
0000123100,183001.0,6.6,Don Jon,2013
0000002310,218590.0,7.8,Donnie Brasco,1997
0000001222,556441.0,8.1,Donnie Darko,2001
0000013200,113110.0,7.3,Dr. No,1962
0000012211,138441.0,7.5,Dracula,1992
0000122100,129922.0,6.3,Dracula Untold,2014
0000012100,153211.0,6.6,Drag Me to Hell,2009
0000012210,195001.0,7.0,Dredd,2012
0000001221,415036.0,7.8,Drive,2011/I
0001121000,113693.0,5.5,"Dude, Where's My Car?",2000
0000123100,265909.0,6.6,Due Date,2010
0000012211,279564.0,7.3,Dumb & Dumber,1994
0000002311,269853.0,7.8,E.T. the Extra-Terrestrial,1982
0000023100,146610.0,6.6,Eagle Eye,2008
0000002310,184738.0,7.7,Eastern Promises,2007
0000013210,263820.0,7.1,Easy A,2010
0000001311,139484.0,7.9,Ed Wood,1994
0000002321,402577.0,7.9,Edge of Tomorrow,2014
0000001311,344435.0,8.0,Edward Scissorhands,1990
0000012311,116960.0,7.5,El orfanato,2007
0000012201,144155.0,6.9,Elf,2003
0000023100,321601.0,6.6,Elysium,2013/I
0000012211,136977.0,7.1,Enchanted,2007
0000002311,173679.0,7.7,End of Watch,2012
